N200_K11,N150_K8,N100_K6,N50_K3,N20_K2,N300_K16,N5_K2,N10_K2,N25_K2,N500_K26,N15_K2,N400_K21
3253,2867,2436,1719,966,3801,234,474,1117,4531,813,3863
3015,2619,2324,1566,804,3349,234,409,967,4219,635,3632
3015,2619,2324,1566,726,3349,234,409,874,4219,617,3632
3015,2619,2324,1500,703,3349,234,409,788,4219,617,3632
3015,2619,2324,1500,703,3349,234,409,788,4219,617,3632
3015,2619,2324,1408,703,3349,234,409,783,4219,617,3632
3015,2619,1991,1384,703,3349,234,409,745,4219,617,3632
3015,2600,1991,1356,703,3349,234,409,742,4219,617,3632
3015,2600,1991,1356,703,3349,234,409,724,4219,617,3632
2775,2600,1991,1307,703,3349,234,409,724,4219,617,3632
,,,,,,,,,,,
