N200_K11,N150_K8,N100_K6,N50_K3,N20_K2,N300_K16,N5_K2,N10_K2,N25_K2,N500_K26,N15_K2,N400_K21
3023,2881,2674,1778,1075,3105,257,557,1235,4736,820,4043
2762,2599,2440,1573,721,2993,234,409,884,4519,615,3939
2762,2599,2440,1496,699,2993,234,409,744,4519,615,3939
2762,2599,2440,1392,693,2993,234,409,721,4519,615,3939
2762,2599,2252,1326,693,2993,234,409,707,4519,615,3939
2762,2599,2252,1300,693,2993,234,409,707,4519,615,3939
2762,2599,2252,1229,693,2993,234,409,707,4519,615,3939
2762,2599,2178,1206,693,2993,234,409,707,4519,615,3939
2762,2406,2178,1206,693,2993,234,409,707,4519,615,3939
2621,2406,2008,1102,693,2993,234,409,707,4519,615,3939
,,,,,,,,,,,
