N200_K11,N150_K8,N100_K6,N50_K3,N20_K2,N300_K16,N5_K2,N10_K2,N25_K2,N500_K26,N15_K2,N400_K21
5611,4152,4313,3405,1498,4162,487,1085,1143,6122,1685,5852
2295,2146,1835,1277,744,2974,397,414,814,,641,3323
1817,1713,1301,1101,683,2423,397,409,738,,622,
1429,1508,1161,1064,683,,397,409,729,,618,
1204,1407,1098,1057,683,,397,409,708,,618,
1141,1246,1071,1044,683,,397,409,708,,618,
1081,1149,1047,996,683,,397,409,708,,618,
,1145,1043,996,683,,397,409,708,,618,
,1100,1043,996,683,,397,409,708,,618,
,1100,1043,996,683,,397,409,705,,618,
,,1043,996,673,,397,409,705,,618,
,,1043,996,673,,397,409,705,,618,
,,1043,996,673,,397,409,705,,618,
,,1043,996,673,,397,409,705,,618,
,,1043,996,673,,397,409,705,,618,
,,1043,996,673,,397,409,705,,618,
,,1043,996,673,,397,409,705,,618,
,,1043,996,673,,397,409,705,,618,
,,1043,996,673,,397,409,705,,618,
,,1043,996,673,,397,409,705,,618,
,,1043,996,673,,397,409,705,,618,
,,1043,996,673,,397,409,705,,618,
,,,996,673,,397,409,705,,618,
,,,996,673,,397,409,705,,618,
,,,996,673,,397,409,705,,612,
,,,996,673,,397,409,705,,612,
,,,996,673,,397,409,705,,612,
,,,996,673,,397,409,705,,612,
,,,996,673,,397,409,705,,612,
,,,996,673,,397,409,705,,612,
,,,990,673,,397,409,705,,612,
,,,990,673,,397,409,705,,612,
,,,990,673,,397,409,705,,612,
,,,990,673,,397,409,705,,612,
,,,990,673,,397,409,705,,612,
,,,990,673,,397,409,705,,608,
,,,990,673,,397,409,705,,608,
,,,990,673,,397,409,705,,608,
,,,990,673,,397,409,705,,608,
,,,990,673,,397,409,705,,608,
,,,990,673,,397,409,705,,608,
,,,990,673,,397,409,705,,608,
,,,990,673,,397,409,705,,608,
,,,,673,,397,409,705,,608,
,,,,673,,397,409,705,,608,
,,,,673,,397,409,705,,608,
,,,,673,,397,409,705,,608,
,,,,673,,397,409,705,,608,
,,,,673,,397,409,705,,608,
,,,,673,,397,409,705,,608,
,,,,673,,397,409,705,,608,
,,,,673,,397,409,705,,608,
,,,,673,,397,409,705,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,703,,608,
,,,,673,,397,409,,,608,
,,,,673,,397,409,,,608,
,,,,673,,397,409,,,608,
,,,,673,,397,409,,,608,
,,,,673,,397,409,,,608,
,,,,673,,397,409,,,608,
,,,,673,,397,409,,,608,
,,,,673,,397,409,,,608,
,,,,673,,397,409,,,608,
,,,,673,,397,409,,,608,
,,,,673,,397,409,,,608,
,,,,673,,397,409,,,608,
