N200_K11,N150_K8,N100_K6,N50_K3,N20_K2,N300_K16,N5_K2,N10_K2,N25_K2,N500_K26,N15_K2,N400_K21
2815,2914,2333,1746,909,3966,234,491,1200,4007,775,3757
2778,2537,2007,1545,798,3244,234,412,930,4007,657,3725
2778,2289,2007,1535,781,3244,234,412,911,3850,657,3725
2556,2136,1951,1527,760,3244,234,412,900,3850,657,3725
2556,2136,1951,1492,758,2931,1000000000.0,412,869,3850,657,3725
2556,2136,1951,1462,758,2931,1000000000.0,412,854,3850,657,3593
2364,2136,1951,1462,758,2931,1000000000.0,412,854,3850,657,3539
2364,2136,1879,1462,751,2931,1000000000.0,1000000000.0,854,3471,657,3387
2294,2136,1868,1452,735,2931,1000000000.0,1000000000.0,841,3471,657,3363
2294,2136,1845,1360,735,2763,1000000000.0,1000000000.0,839,3471,1000000000.0,3363
,,,,,,,,,,,
